code,name,address,city,state,zip_code
M134,P.S. 134,293 EAST BROADWAY,MANHATTAN,NY,10002
K247,P.S. 247,7000 21ST AVENUE,BROOKLYN,NY,11204
R445,PORT RICHMOND HS - S. I.,85 ST JOSEPHS AVENUE,STATEN ISLAND,NY,10302
R044,P.S. 44 - STATEN ISLAND,80 MAPLE PARKWAY,STATEN ISLAND,NY,10303
X142,I.S. 142,3750 BAYCHESTER AVENUE,BRONX,NY,10466
X135,I.S. 135,2441 WALLACE AVENUE,BRONX,NY,10467
X044,P.S. 44,1825 PROSPECT AVENUE,BRONX,NY,10457
R022,P.S. 22 - STATEN ISLAND,1860 FOREST AVENUE,STATEN ISLAND,NY,10303
K017,P.S. 17,208 NORTH 5TH STREET,BROOKLYN,NY,11211
X153,P.S. 153,650 BAYCHESTER AVENUE,BRONX,NY,10475
M501,ARTHUR SCHOMBURG HS (IS 201),3450 EAST TREMONT AVENUE,BRONX,NY,10465
Q204,I.S. 204,36-41 28TH STREET,QUEENS,NY,11106
X055,P.S. 55,450 SAINT PAUL'S PLACE,BRONX,NY,10456
M081,MID-MANHATTAN ADULT LEARNING CENTER,212 WEST 120TH STREET,MANHATTAN,NY,10027
X070,P.S. 70,1691 WEEKS AVENUE,BRONX,NY,10457
M171,P.S. 171,19 EAST 103RD STREET,MANHATTAN,NY,10029
M206,P.S. 206 (TANDEM M112),508 EAST 120TH STREET,MANHATTAN,NY,10035
M534,P. S. @ 220 WEST 108 STREET,34 WEST 14TH STREET,MANHATTAN,NY,10011
X057,P.S. 57,2111 CROTONA AVENUE,BRONX,NY,10457
X025,P.S. 25,811 EAST 149TH STREET,BRONX,NY,10455
Q098,P.S. 98,40-20 235TH STREET,QUEENS,NY,11363
Q387,PRE-K CENTER @ 100-01 SPRINGFIELD BOULEVARD,97-29 64 ROAD,QUEENS,NY,11374
Q251,P.S. 251 (TANDEM Q231),144-51 ARTHUR STREET,QUEENS,NY,11413
Q721,P.S. 16 (OLD Q721 SPED),57-12 94TH STREET,QUEENS,NY,11373
Q439,3K CENTER @ 101-49 WOODHAVEN BOULEVARD - QUEENS,101-49 WOODHAVEN BOULEVARD,QUEENS,NY,11416
K164,P.S. 164,4211 14TH AVENUE,BROOKLYN,NY,11219
M133,P.S. 133,2121 5TH AVENUE,MANHATTAN,NY,10037
M895,YOUNG WOMEN'S LEADERSHIP H.S.,105 EAST 106TH STREET,MANHATTAN,NY,10029
Q223,P.S. 223,125-20 SUTPHIN BOULEVARD,QUEENS,NY,11434
Q192,I.S. 192,109-89 204TH STREET,QUEENS,NY,11412
Q059,I.S. 59,132-55 RIDGEDALE STREET,QUEENS,NY,11413
Q143,P.S. 143,34-55 112 STREET,QUEENS,NY,11368
M044,I.S. 44,100 WEST 77TH STREET,MANHATTAN,NY,10024
M164,I.S. 164,401 WEST 164TH STREET,MANHATTAN,NY,10032
Q189,J.H.S. 189,144-80 BARCLAY AVENUE,QUEENS,NY,11355
M072,P.S. 72,131 EAST 104TH STREET,MANHATTAN,NY,10029
Q138,P.S. 138,251-11 WELLER AVENUE,QUEENS,NY,11422
Q136,P.S. 136,201-15 115TH AVENUE,QUEENS,NY,11412
M054,I.S. 54,103 WEST 107TH STREET,MANHATTAN,NY,10025
K195,P.S. 195,131 IRWIN STREET,BROOKLYN,NY,11235
X115,I.S. 399 (OLD X HS/X115),120 EAST 184TH STREET,BRONX,NY,10468
Q141,I.S. 141,37-11 21ST AVENUE,QUEENS,NY,11105
R072,I.S. 72 - STATEN ISLAND,33 FERNDALE AVENUE,STATEN ISLAND,NY,10314
K145,P.S. 145,100 NOLL STREET,BROOKLYN,NY,11206
R039,P.S. 39 - STATEN ISLAND,99 MACFARLAND AVENUE,STATEN ISLAND,NY,10305
M017,I.S. 17,328 WEST 48TH STREET,MANHATTAN,NY,10036
R026,P.S. 26 - STATEN ISLAND,4108 VICTORY BOULEVARD,STATEN ISLAND,NY,10314
K650,HARRY VANARSDALE VOC HS(WHITNEY)-K,257 NORTH 6TH STREET,BROOKLYN,NY,11211
K874,I.S. 340 (OLD 249 AX),227 STERLING PLACE,BROOKLYN,NY,11238
Q135,P.S. 135,207-11 89TH AVENUE,QUEENS,NY,11427
M112,P.S. 112 (TANDEM M206),535 EAST 119TH STREET,MANHATTAN,NY,10035
