code,description,level,default_fee
LCS204,"ACM Additional Authorized Costs - Field",building,
LCS205,"ACM Additional Authorized Costs - Office",building,
LAMP32,"ACM Field Labor - Air Monitoring",building,
LAMP31,"ACM Field Labor - Bulk Sample Collection",building,
LAMP30,"ACM Lab Reimbursables",building,
LAMP33,"ACM Monitor Project Management",building,
LCS210,"ACM Survey Project Management",building,
LAMP72,"IAQ Field Labor - Air Monitoring",building,
LAMP74,"IAQ Field Project Management",building,
LAMP76,"IAQ Sampling Reimbursable",building,
LCS200,"LBP Additional Authorized Costs - Field",building,
LCS201,"LBP Additional Authorized Costs - Office",building,
LAMP43,"LBP Field Labor - Sample Collection",building,
LAMP42,"LBP Lab Reimbursables",building,
LCS211,"Mold Additional Authorized Costs - Field",building,
LCS212,"Mold Additional Authorized Costs - Office",building,
LCS225,"Mold Lab Reimbursable",building,
LCS216,"Mold Survey Project Manager",building,
LCS217,"PCB Additional Authorized Costs - Field",building,
LCS218,"PCB Additional Authorized Costs - Office",building,
LAMP46,"PCB Field Labor - Air Monitoring",building,
LAMP45,"PCB Field Labor - Bulk Sample Collection",building,
LAMP44,"PCB Lab Reimbursables",building,
LAMP47,"PCB Monitor Project Management",building,
LCS221,"PCB Sampling - Soil, Bulk, Air, Water",building,
LCS222,"PCB Soil Project Management",building,
LCS223,"PCB Survey Project Management",building,
LCS148,"School Permit Fee",building,
LCS149,"ACP5 Fee*",project,500.00
LAMP23,"Emergency Site Visit*",project,375.00
LAMP48,"Lead Wipe Clearance - CIP & Capacity*",project,
LAMP19,"Lead Wipe Clearance - PO18*",project,375.00
LAMP21,"Mold Survey*",project,
LAMP05,"PO18 Cores*",project,
LAMP20,"PO18 Survey*",project,750.00
